,Region number,region,value
0,47.0,Lateral ventricle temporal horn R,9.074013038376066e-05
1,1.0,TL hippocampus R,4.7208231810637335e-05
2,15.0,TL fusiform gyrus R,4.09354970746959e-05
3,3.0,TL amygdala R,1.4735469203775229e-05
4,14.0,TL middle and inferior temporal gyrus L,1.3061829110379645e-05
5,5.0,TL anterior temporal lobe medial part R,1.1607753300538265e-05
6,35.0,caudate nucleus R,1.0608677723425805e-05
7,16.0,TL fusiform gyrus L,9.00550443325717e-06
8,13.0,TL middle and inferior temporal gyrus R,7.577658430324996e-06
9,31.0,TL posterior temporal lobe R,7.186750428800352e-06
