,Region number,region,value
0,48.0,Lateral ventricle temporal horn L,0.0001539566260473156
1,2.0,TL hippocampus L,5.5622629065420215e-05
2,6.0,TL anterior temporal lobe medial part L,4.3029557123498896e-05
3,10.0,TL parahippocampal and ambient gyrus L,3.871809665150176e-05
4,4.0,TL amygdala L,3.703177731583964e-05
5,1.0,TL hippocampus R,2.3182599958469308e-05
6,3.0,TL amygdala R,1.7814538848977292e-05
7,82.0,TL superior temporal gyrus anterior part L,1.6067052944046507e-05
8,7.0,TL anterior temporal lobe lateral part R,1.4729612425788146e-05
9,74.0,substantia nigra L,1.3048473585454921e-05
